year,month number,month,temperature
1900,1,january,8.0
1900,2,february,10.5
1900,3,march,8.8
1900,4,april,13.1
1900,5,may,16.3
1900,6,june,20.8
1900,7,july,23.9
1900,8,august,22.1
1900,9,september,21.3
1900,10,october,16.6
1900,11,november,10.9
1900,12,december,9.7
1901,1,january,8.2
1901,2,february,4.8
1901,3,march,9.6
1901,4,april,12.5
1901,5,may,15.8
1901,6,june,20.7
1901,7,july,22.4
1901,8,august,22.3
1901,9,september,20.2
1901,10,october,14.0
1901,11,november,9.6
1901,12,december,6.7
1902,1,january,7.6
1902,2,february,8.7
1902,3,march,11.1
1902,4,april,12.8
1902,5,may,13.2
1902,6,june,17.3
1902,7,july,22.3
1902,8,august,21.3
1902,9,september,18.7
1902,10,october,14.5
1902,11,november,10.9
1902,12,december,7.6
1903,1,january,6.9
1903,2,february,8.4
1903,3,march,9.7
1903,4,april,11.1
1903,5,may,15.6
1903,6,june,18.7
1903,7,july,21.9
1903,8,august,22.4
1903,9,september,19.1
1903,10,october,16.6
1903,11,november,10.9
1903,12,december,7.1
1904,1,january,6.6
1904,2,february,9.0
1904,3,march,9.1
1904,4,april,13.4
1904,5,may,17.2
1904,6,june,20.0
1904,7,july,24.6
1904,8,august,23.7
1904,9,september,19.2
1904,10,october,15.7
1904,11,november,10.5
1904,12,december,8.8
1905,1,january,7.0
1905,2,february,7.6
1905,3,march,11.1
1905,4,april,13.8
1905,5,may,14.7
1905,6,june,19.9
1905,7,july,23.9
1905,8,august,22.7
1905,9,september,18.8
1905,10,october,13.0
1905,11,november,9.3
1905,12,december,7.5
1906,1,january,8.2
1906,2,february,7.2
1906,3,march,8.8
1906,4,april,10.7
1906,5,may,15.3
1906,6,june,20.3
1906,7,july,22.0
1906,8,august,23.7
1906,9,september,19.8
1906,10,october,16.3
1906,11,november,11.6
1906,12,december,7.4
1907,1,january,7.1
1907,2,february,7.2
1907,3,march,9.8
1907,4,april,11.7
1907,5,may,14.7
1907,6,june,18.5
1907,7,july,20.4
1907,8,august,22.4
1907,9,september,18.9
1907,10,october,14.2
1907,11,november,11.0
1907,12,december,9.3
1908,1,january,7.4
1908,2,february,7.9
1908,3,march,8.2
1908,4,april,10.3
1908,5,may,17.0
1908,6,june,19.2
1908,7,july,22.1
1908,8,august,22.0
1908,9,september,19.2
1908,10,october,15.8
1908,11,november,11.7
1908,12,december,8.6
1909,1,january,6.3
1909,2,february,5.7
1909,3,march,9.0
1909,4,april,12.3
1909,5,may,14.8
1909,6,june,17.4
1909,7,july,20.4
1909,8,august,22.0
1909,9,september,18.0
1909,10,october,16.4
1909,11,november,9.9
1909,12,december,9.5
1910,1,january,7.8
1910,2,february,8.9
1910,3,march,9.5
1910,4,april,11.2
1910,5,may,13.4
1910,6,june,19.7
1910,7,july,20.8
1910,8,august,21.8
1910,9,september,18.4
1910,10,october,15.8
1910,11,november,12.1
1910,12,december,9.7
1911,1,january,6.7
1911,2,february,9.1
1911,3,march,10.2
1911,4,april,12.0
1911,5,may,15.6
1911,6,june,19.1
1911,7,july,24.3
1911,8,august,25.3
1911,9,september,22.4
1911,10,october,16.3
1911,11,november,12.4
1911,12,december,10.8
1912,1,january,9.4
1912,2,february,10.7
1912,3,march,12.7
1912,4,april,12.2
1912,5,may,16.8
1912,6,june,18.7
1912,7,july,21.1
1912,8,august,20.6
1912,9,september,17.0
